"x","y"
"1.88333333333333","2"
"2.46666666666667","2"
"5.51666666666667","2"
"10.0833333333333","2"
"10.3833333333333","2"
"12.8166666666667","2"
"12.8333333333333","2"
"13.8833333333333","2"
"14.9333333333333","2"
"18.2","2"
"19","2"
"22.05","2"
"23.4333333333333","2"
"27.4166666666667","2"
"29.4333333333333","2"
"33.7833333333333","2"
"43.1833333333333","2"
"43.2666666666667","2"
"46.8833333333333","2"
"51.3666666666667","2"
"52.1833333333333","2"
"52.1833333333333","2"
"55.35","2"
"59.5666666666667","2"
"60.5","2"
"66.4166666666667","2"
"68.2333333333333","2"
"73.9666666666667","2"
"75.0166666666667","2"
"78.65","2"
"79.65","2"
"80.5666666666667","2"
"83.1","2"
"83.5833333333333","2"
"86.4","2"